when,module,battery,d15cm,d15cm_bias,d45cm,d45cm_bias,d75cm,d75cm_bias
2017-04-25 14:00:00.000,4,5.21616458892822,555,-1022,1304,-382,975,114
2017-04-25 15:00:00.000,4,5.39341354370117,561,-995,1388,-424,791,208
2017-04-25 16:00:00.000,4,5.36735820770264,555,-986,1398,-428,772,196
2017-04-25 17:00:00.000,4,5.2906813621521,540,-961,1398,-444,761,196
2017-04-25 18:00:00.000,4,5.2906813621521,529,-939,1390,-449,753,195
2017-04-25 19:00:00.000,4,5.2906813621521,517,-917,1377,-445,746,193
2017-04-25 20:00:00.000,4,5.14371824264526,507,-903,1360,-448,736,190
2017-04-25 21:00:00.000,4,5.21616458892822,510,-895,1339,-438,730,193
2017-04-25 22:00:00.000,4,5.19179010391235,506,-876,1330,-434,724,192
2017-04-25 23:00:00.000,4,5.16764259338379,501,-858,1322,-431,715,183
2017-04-26 00:00:00.000,4,5.16764259338379,502,-843,1313,-433,709,189
2017-04-26 01:00:00.000,4,5.14371824264526,502,-826,1311,-410,704,182
2017-04-26 02:00:00.000,4,5.12001466751099,496,-811,1303,-405,694,172
2017-04-26 03:00:00.000,4,5.12001466751099,494,-798,1304,-405,688,183
2017-04-26 04:00:00.000,4,5.09652805328369,498,-788,1300,-412,682,178
2017-04-26 05:00:00.000,4,5.07325601577759,498,-762,1291,-408,677,177
2017-04-26 06:00:00.000,4,5.07325601577759,499,-754,1265,-392,667,178
2017-04-26 07:00:00.000,4,5.05019617080688,507,-728,1263,-398,660,169
2017-04-26 08:00:00.000,4,5.05019617080688,502,-725,1271,-394,655,177
2017-04-26 09:00:00.000,4,5.02734470367432,506,-703,1272,-393,648,173
2017-04-26 10:00:00.000,4,5.05019617080688,463,-781,1297,-417,641,169
2017-04-26 11:00:00.000,4,5.05019617080688,451,-783,1292,-413,633,159
2017-04-26 12:00:00.000,4,5.07325601577759,437,-765,1287,-422,624,162
2017-04-26 13:00:00.000,4,5.09652805328369,432,-754,1286,-428,623,162
2017-04-26 14:00:00.000,4,5.12001466751099,434,-751,1279,-420,615,158
2017-04-26 15:00:00.000,4,5.12001466751099,427,-746,1273,-424,615,159
2017-04-26 16:00:00.000,4,5.09652805328369,427,-750,1262,-409,608,153
2017-04-26 17:00:00.000,4,5.07325601577759,432,-761,1248,-415,604,158
2017-04-26 18:00:00.000,4,5.07325601577759,440,-775,1242,-413,602,157
2017-04-26 19:00:00.000,4,5.02734470367432,446,-787,1226,-401,594,161
2017-04-26 20:00:00.000,4,5.00469875335693,455,-803,1222,-403,588,155
2017-04-26 21:00:00.000,4,4.98225593566895,469,-812,1210,-400,589,163
2017-04-26 22:00:00.000,4,4.93796968460083,481,-829,1199,-394,587,156
2017-04-26 23:00:00.000,4,4.93796968460083,492,-842,1195,-386,583,155
2017-04-27 13:00:00.000,4,4.68794536590576,550,-950,1111,-338,572,153
2017-04-27 14:00:00.000,4,4.74804782867432,546,-951,1136,-365,557,144
2017-05-01 03:00:00.000,4,3.12969899177551,756,-672,1007,-336,1438,340
2017-05-01 04:00:00.000,4,3.09482765197754,773,-608,1003,-338,1389,333
2017-05-01 05:00:00.000,4,3.07768177986145,788,-565,1006,-340,1343,316
2017-05-01 06:00:00.000,4,3.03563690185547,806,-524,1004,-330,1291,304
2017-05-01 07:00:00.000,4,3.01095700263977,866,-392,1005,-331,1256,300
2017-05-01 08:00:00.000,4,3.00281929969788,904,-300,1001,-326,1228,291
